parsed_date,Narration,amount,type,fee_type,category
2016-04-01,CREDITINTERESTCAPITALISED,79.0,deposit,interest,Income (Other)
2016-04-01,CREDIT INTEREST CAPITALISED,79.0,deposit,interest,Income (Salary)
2016-07-01,CREDITINTERESTCAPITALISED,76.0,deposit,interest,Income (Other)
2016-07-01,CREDIT INTEREST CAPITALISED,76.0,deposit,interest,Income (Salary)
2016-09-09,50100027640512 -TPT-LOANPROCESSINGFEE,1.0,withdrawal,other,Expense (Debt Payment)
2016-09-09,50100027640512 -TPT-LOAN PROCESSING FEE,1.0,withdrawal,other,Expense (Debt Payment)
2016-10-01,CREDIT INTEREST CAPITALISED,44.0,deposit,interest,Income (Salary)
2016-10-01,CREDITINTERESTCAPITALISED,44.0,deposit,interest,Income (Other)
2016-01-04,POS 532676XXXXXX3201 R. LAW SERVICE S PO,100.0,withdrawal,maintenance,Expense (Shopping)
2016-01-04,05301050057021 -TPT-MUKESH,100.0,withdrawal,other,Expense (Other)
2016-01-04,POS532676XXXXXX3201R.LAWSERVICESPO,100.0,withdrawal,maintenance,Expense (Shopping)
2016-01-04,05301050057021 -TPT-MUKESH,100.0,withdrawal,other,Expense (Other)
2016-01-06,FUEL SURCHG ******3201 DT 0000000000550406 06/01/16,11.45,withdrawal,other,Expense (Transportation)
2016-01-06,FUELSURCHG532676****** 0000000000550406 06/01/16,11.45,withdrawal,other,Expense (Transportation)
2016-02-15,NEFT CHGS INCL ST & CESS 090216,8.59,withdrawal,other,Expense (Other)
2016-02-15,NEFTCHGSINCLST&CESS090216,8.59,withdrawal,other,Expense (Other)
2016-02-20,POS532676XXXXXX3201R.LAWSERVICESPO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-02-20,POS 532676XXXXXX3201 R. LAW SERVICE S PO,200.0,withdrawal,maintenance,Expense (Shopping)
2016-02-23,FUEL SURCHG ******3201 DT 0000000000170787 23/02/16,11.45,withdrawal,other,Expense (Transportation)
2016-02-23,FUELSURCHG532676****** 0000000000170787 23/02/16,11.45,withdrawal,other,Expense (Transportation)
2016-02-29,NEFT DR-UTBI0TOPA23-MANOHARLAL SHAW-NETB,100.0,withdrawal,other,Expense (Other)
2016-02-29,NEFTDR-UTBI0TOPA23-MANOHARLALSHAW-NETB,100.0,withdrawal,other,Expense (Other)
2016-03-01,POS532676XXXXXX3201R.LAWSERVICESPO,150.0,withdrawal,maintenance,Expense (Shopping)
2016-03-01,POS 532676XXXXXX3201 R. LAW SERVICE S PO,150.0,withdrawal,maintenance,Expense (Shopping)
2016-03-03,FUELSURCHG532676****** 0000000000410279 03/03/16,11.45,withdrawal,other,Expense (Transportation)
2016-03-03,FUEL SURCHG ******3201 DT 0000000000410279 03/03/16,11.45,withdrawal,other,Expense (Transportation)
